"species","Id_species","beta_intercept","beta_temp","beta_prec","beta_sais_temp","beta_sais_prec","beta_pet","beta_cwd","beta_ndm","lambda_1","lambda_2"
"Ocotea laevis",1,-3.2800583292996,2.40012684172998,1.9911474265767,3.77071637976958,3.02563066056327,-3.86955342951263,-0.679296390753776,1.64320584800391,1.00449363891851,0
"Cryptocarya louvelii",2,-9.97357658363381,10.3838099579264,2.25637541365724,2.63085277361493,0.217074560404743,-14.2937187369208,-5.11456908063148,2.9945350564653,0.949454849272946,0.0986285320687881
"Potameia incisa",3,-43.2471959520662,16.6586882964343,9.82551190666045,-27.9993379900173,27.8962848426885,-18.5303111233949,-28.3502815062743,-28.2462534500719,6.62414169569734,-0.159067928338271
"Ilex mitis",4,-4.49889388900109,1.04184201323602,0.415312894810758,0.903461584817267,1.53170846110503,-1.57462284985333,-4.43746180857344,1.49750197235808,0.176938065253035,0.275061983003588
"Bridelia tulasneana",5,-5.42537304840334,4.13758876739134,0.744884004180769,0.837474252348892,-1.05575872359135,-7.6074245588038,0.373371928322272,0.671926934263201,0.198853189125806,0.250171216802155
"Manilkara hexandra",6,-1.31760920993986,1.43384549191205,-0.476823482370866,-0.452996822723372,0.307971047636584,-0.882208128368028,-1.16559744462186,-0.627329831037221,0.218538936385905,-0.611603795851108
"Cassinopsis madagascariensis",7,-6.19403184259722,-0.231161592965091,0.996715320539563,3.68889971566376,3.4188997682936,0.521897256661686,-4.87701330911228,3.18037253423931,0.507455406975086,1.17833239377012
"Domohinea perrieri",8,-4.5925998337531,2.36074707417752,0.80889447408589,2.42616282667591,2.4627854022998,-6.07448647512728,3.97862551490527,-1.05756496513011,1.36307304307302,0.208714812890843
"Ravensara polyneura",9,-2.4183377591556,2.40489654766895,-0.544097661732564,0.897840145946695,0.142686557887057,-3.65579371994117,-1.71420329595742,1.2045397468181,0.907251427363723,-0.278788456544765
"Dracaena reflexa",10,-6.66415799605703,5.06924683577812,0.177955915696244,0.181210721413737,0.316147275333167,-9.50658141319741,0.0900703166895827,-0.648713030731539,0.576215192537071,0.153825476399857
"Pachytrophe dimepate",11,-6.43517998514506,3.0956446384765,-1.18926680032072,1.16800447477089,0.826613252096711,-4.34005676835669,-6.23218254299824,1.90475285542995,0.697395198409831,0.483052090175626
"Xylopia buxifolia",12,-2.07229001743813,-0.75254694591893,-0.120901076930457,1.85714282058907,0.375035824477141,-0.131683530480591,0.060727055656144,1.23897512381656,0.443182011317782,-0.414243657932066
"Manilkara laciniata",13,-29.2290733487278,1.32467603437691,16.0795886041817,5.25191347565464,9.59475816778771,3.3500234947622,-28.2895768766213,13.3536589752572,3.43504425688078,1.16997990047956
"Chrysophyllum boivinianum",14,-1.71580356278202,1.61132948620769,-0.179241941846396,0.298443329682061,0.636890021122337,-2.21500844588932,-1.36318215560042,0.42089390970647,0.285813292691523,0.232737125241053
"Neodypsis lastelliana",15,-4.18132878094113,1.85414270825334,0.479939402693121,2.8049686048375,0.79934391741746,-3.0670308049873,0.148930142812075,1.47817848619908,-0.186895524436429,-0.249112049215523
"Dombeya lucida",16,-2.69385347157044,0.254686030561506,-0.373927441489245,0.696762277093562,-0.128673312732793,-1.18351648188856,-1.20219152468101,1.22069090872935,0.362944355428091,-0.0846798795686598
"Brachylaena merana",17,-2.02371357449552,-0.898964727636543,0.569566632106159,-0.440667768158801,0.745830366430373,2.13710705825928,-2.32711953362037,-0.114541942481146,-0.0972224083833943,-0.124255160004248
"Dichaetanthera cordifolia",18,-4.65797621490561,3.57582389579293,0.566580488772837,0.461524262366465,2.31986236315667,-3.98102080553914,-3.60977979913925,0.291637819479459,-0.380218524506521,-0.354970924926185
"Tambourissa trichophylla",19,-2.93655253387019,1.38511453085322,-0.349582050584523,1.85478658452863,0.38750744540989,-3.35019018504077,0.0136630955014646,1.02661005621248,0.719066455726776,0.0969758155791171
"Symphonia fasciculata",20,-2.45148136622327,2.97451482159921,0.0304121666886032,1.31821266934939,0.827768196034149,-3.85054538068537,-0.997298007109366,0.523534611994409,0.491423770714142,-0.396502448014797
"Eugenia urschiana",21,-2.48734586581049,0.143267196706982,-0.844778550434237,0.674619549867957,0.490865298648582,-0.549402561076649,-2.53733804880782,0.249536824558488,0.853523150475575,-0.338482404653419
"Canarium madagascariense",22,-1.52657047855873,1.39081063346203,-0.576709641397566,0.806536172864127,0.314699235929577,-1.77010677952636,-1.50861472224121,0.918898242138365,0.464539628547151,-0.25456569712791
"Breonia madagascariensis",23,-2.1169732488709,-0.945737952929983,-0.930476082298102,0.434306487195174,0.207761310534051,0.460991714242245,-0.679950381493947,0.0511018680846034,0.263124668234593,-0.248557874633031
"Antidesma petiolare",24,-12.2276913700067,2.25636409859021,0.0849362898102765,7.68884771201675,4.4741309109894,-6.3397235127377,-6.37708393069317,2.78561093033218,0.771625086383914,0.165915159513985
"Breonia sinensis",25,-36.6512925927229,20.8491318931378,11.5252249603887,-13.6825773137302,24.7489077650668,-10.045435898718,-52.6680163595514,-2.13050751625422,3.0276604652661,-3.60305985535711
"Vernonia garnieriana",26,-7.74683486810665,4.10360631656425,0.318550182664745,1.48151734224447,0.62016050529826,-7.69319102261221,-4.18040485899057,2.74633328254531,0.114187284021439,-0.148059678611953
"Filicium decipiens",27,-7.85120927240315,1.9711826349805,-1.08520907013468,1.01502831365423,2.60508032099166,-4.81629145035223,-3.6221089473301,-1.5414636362756,0.37376838274064,-0.322918767976571
"Chrysalidocarpus decipiens",28,-51.7645246867914,25.1015523885309,28.7246390561033,-32.1102626175249,18.5215992621096,-4.10673036280512,-34.2761753183639,-37.3842629760205,1.9916389253261,-4.62108144559598
