"plot","lat","long","alphas","Valpha","W1","W2"
1,-12.4395668471588,49.1453666666667,-0.104736203630008,0.0987395041821563,0.196798029889626,0.0731215104404167
2,-12.4485498445427,49.1361672349141,-0.0565601961940182,0.0987395041821563,-0.387362233830459,-0.530174612428129
3,-12.4485498445427,49.1545660984192,-0.043278297667322,0.0987395041821563,-0.545774253886334,-0.197448632923568
4,-12.44855,49.1453666666667,-0.214968448293388,0.0987395041821563,-0.418313044695091,-0.200630962959693
5,-12.4575331528412,49.1453666666667,-0.332352837394393,0.0987395041821563,0.215299999893117,-0.254732369003384
6,-12.5862835138255,49.1814666666667,-0.390336879376901,0.0987395041821563,-0.241581139887285,1.20905276094106
7,-12.5952665093172,49.172262001537,-0.0853596775537784,0.0987395041821563,-0.612091101421344,1.00193984186172
8,-12.5952665093172,49.1906713317964,0.00674711224747833,0.0987395041821563,-0.542879440589426,1.27815419177528
9,-12.5952666666667,49.1814666666667,0.174331533655353,0.0987395041821563,-0.0400372066933949,1.54308346146358
10,-12.6042498195079,49.1814666666667,-0.149783153089308,0.0987395041821563,-0.286147883942815,1.19257312139151
11,-12.7029668471588,49.544,-0.282477130752044,0.0987395041821563,0.203800692215633,-0.024246567306593
12,-12.7119498411441,49.5347911253992,-0.0730525829603712,0.0987395041821563,-1.0559145141129,-0.245850574970831
13,-12.7119498411441,49.5532088746008,-0.0827517910786897,0.0987395041821563,-0.789119065569992,-0.845670566905691
14,-12.71195,49.544,0.194336278654472,0.0987395041821563,-0.359345793001189,-0.132826909703387
15,-12.7209331528412,49.544,-0.127499950693224,0.0987395041821563,-0.596174072886934,-0.371569815569764
16,-13.1349001804921,49.46125,0.339562958855223,0.0987395041821563,-2.07068603510709,-0.574063127617108
17,-13.1438831688888,49.4520251760309,0.0948651908346066,0.0987395041821563,-1.57935365306886,-1.18569225414936
18,-13.1438831688888,49.4704748239691,0.0302426770071284,0.0987395041821563,-1.54515715725684,-1.23360502137249
19,-13.1438833333333,49.46125,0.285537266065131,0.0987395041821563,-0.924138731499046,0.0508789377586
20,-13.1528664861745,49.46125,0.140701468415659,0.0987395041821563,-1.61106243893537,-0.827099965750383
21,-13.3538168471588,49.16235,0.152736491920388,0.0987395041821563,0.81690354686806,-0.218429357717338
22,-13.3627998327155,49.153116870698,0.0869172628906391,0.0987395041821563,1.00601164094512,-0.0431079470327177
23,-13.3627998327155,49.171583129302,0.362831362774525,0.0987395041821563,0.162597719808836,1.1778665234333
24,-13.3628,49.16235,0.0902852371375113,0.0987395041821563,0.923056237901962,-0.999973837288366
25,-13.3717831528412,49.16235,0.0404655578303404,0.0987395041821563,0.757336797850287,0.979060862991287
26,-13.4004335138255,48.3228666666667,-0.10408627395238,0.0987395041821563,-0.27023405999512,0.294736917357674
27,-13.4094164987768,48.3136317494561,-0.0190109818775464,0.0987395041821563,-0.59422996996206,0.826420729421608
28,-13.4094164987768,48.3321015838772,-0.195277238800545,0.0987395041821563,-0.450716866751939,1.14930819662954
29,-13.4094166666667,48.3228666666667,-0.367895608336244,0.0987395041821563,0.00134625809469943,-0.140549421496482
30,-13.4183998195079,48.3228666666667,-0.53637922211841,0.0987395041821563,-0.301471649754527,-0.71108485987443
31,-13.4386668471588,49.2011,0.458415158960385,0.0987395041821563,0.593588214194997,0.604502958706569
32,-13.4473835138255,48.9140833333333,0.0454640220855449,0.0987395041821563,-0.634716655779328,-0.116349699446343
33,-13.4476498316134,49.191863611329,0.388584457167424,0.0987395041821563,0.366096222876067,0.355309833673364
34,-13.4476498316134,49.210336388671,0.319040213682373,0.0987395041821563,0.588094061059369,1.15488482864819
35,-13.44765,49.2011,0.555093808263513,0.0987395041821563,0.265861520903734,0.897660550019764
36,-13.4563664981668,48.9048466085485,-0.115503352417933,0.0987395041821563,0.283224007585083,0.726616665601479
37,-13.4563664981668,48.9233200581182,-0.156274683755868,0.0987395041821563,0.180046263594167,-0.219599852864567
